Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
ALGERIA,2020,43211,40815,36969,3846,10241,2540,3495,10613,10094,15,39,144,321,6981,42,176,1206,259,81,178,1675,2396,1,AFRICA
ANGOLA,2020,4810,4506,5047,-541,484,305,892,1367,1336,,23,8,,442,8,370,3,221,156,65,1176,304,,AFRICA
BENIN,2020,2279,2013,2028,-15,135,,141,1643,1643,,,,,39,16,54,,15,1,14,,266,,AFRICA
BOTSWANA,2020,1515,1515,1516,-1,770,,151,565,560,5,,,,8,8,13,1,4,,4,,,1,AFRICA
BURKINA FASO,2020,1430,1185,1185,,103,,327,653,653,,,,,102,,,,15,,15,,245,,AFRICA
BURUNDI,2020,223,200,200,,18,,5,172,172,,,,,5,,,,2,,2,,23,,AFRICA
CAPE VERDE,2020,141,,142,,63,,,62,46,,12,4,,6,,4,7,95,57,38,,,,AFRICA
CENTRAL AFRICAN REPUBLIC,2020,65,,65,,,,3,59,59,,,,,3,,,,15,,15,,,,AFRICA
CHAD,2020,548,504,469,35,52,,5,380,372,,8,,,32,,,,20,,20,,44,,AFRICA
COMOROS,2020,104,,106,,32,,,60,49,,7,4,,13,,,1,2,,2,,,,AFRICA
CONGO,2020,1103,1036,941,95,591,,27,304,277,11,10,6,,15,,4,,24,,24,,67,,AFRICA
COTE D IVOIRE,2020,3541,2982,2885,97,945,136,336,1103,1043,11,7,42,,278,61,26,,126,75,51,,559,,AFRICA
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),2020,894,750,747,3,131,,1,615,535,,,80,,,,,,94,,94,,144,,AFRICA
DJIBOUTI,2020,106,79,79,,24,,7,28,28,,,,,12,,5,3,94,29,65,,27,,AFRICA
EGYPT,2020,61267,55969,49535,6434,19524,3975,7546,13412,12981,,338,93,,4419,631,,28,716,271,445,,5298,1,AFRICA
EQUATORIAL GUINEA,2020,4631,,4632,,149,85,889,122,122,,,,,6,,13,23,27,,27,3345,,3,AFRICA
ERITREA,2020,176,158,158,,82,,5,57,56,,1,,,10,1,3,,17,14,3,,18,,AFRICA
ETHIOPIA,2020,4919,3835,3836,-1,1,,1456,1948,1945,,3,,,65,151,64,151,376,,376,,1084,,AFRICA
GABON,2020,1312,1255,1116,139,277,161,130,51,49,,2,,,39,,12,2,161,134,27,444,57,1,AFRICA
GAMBIA,2020,191,,191,,107,,38,20,20,,,,,,,,26,15,,15,,,,AFRICA
GHANA,2020,5613,5041,4965,76,1622,46,370,2662,2651,1,8,2,,188,59,18,,107,4,103,,572,,AFRICA
GUINEA,2020,1400,1228,1228,,203,,384,619,616,,3,,,22,,,,22,,22,,172,,AFRICA
GUINEA BISSAU,2020,81,,83,,16,,,28,23,,,5,,8,,,31,11,,11,,,,AFRICA
KENYA,2020,5827,4992,4350,642,168,,707,2738,2717,10,2,9,,329,20,257,131,340,5,335,,835,,AFRICA
LESOTHO,2020,593,,596,,,,446,109,109,,,,,30,,11,,,,,,,,AFRICA
LIBERIA,2020,212,166,169,-3,65,,3,95,90,,5,,,,3,1,2,8,5,3,,46,,AFRICA
LIBYAN ARAB JAMAHIRIYAH,2020,12635,12289,11494,795,4934,258,487,4481,4468,,13,,,295,,,,97,82,15,1039,346,2,AFRICA
MADAGASCAR,2020,1083,1066,1066,,250,,410,362,327,,16,19,,29,,,15,23,2,21,,17,,AFRICA
MALAWI,2020,503,445,445,,5,,48,369,368,,1,,,3,,,20,1,,1,,58,,AFRICA
MALI,2020,1762,1572,1577,-5,440,,3,1061,793,192,,30,46,11,59,3,,52,,52,,190,,AFRICA
MAURITANIA,2020,1232,1124,1124,,223,,335,465,464,,1,,,49,52,,,10,,10,,108,,AFRICA
MAURITIUS,2020,1039,,1037,,577,,85,316,260,,47,7,2,44,2,13,,595,547,48,,,1,AFRICA
MOROCCO,2020,17705,16395,16422,-27,7422,3,1742,4358,4338,10,10,,,2083,694,118,2,355,117,238,,1310,,AFRICA
MOZAMBIQUE,2020,1757,1444,1544,-100,395,73,180,862,830,,9,23,,18,,7,9,16,4,12,,313,,AFRICA
NAMIBIA,2020,977,876,882,-6,23,,68,472,448,,2,18,4,2,243,2,72,9,,9,,101,,AFRICA
NIGER,2020,780,741,573,168,190,,60,282,282,,,,,23,,14,4,48,,48,,39,,AFRICA
NIGERIA,2020,33131,30225,26436,3789,3599,3170,1952,13652,13413,39,154,46,,1047,3,1,140,511,219,292,2872,2906,,AFRICA
REPUBLIC OF CAMEROON,2020,2207,1823,1819,4,656,,69,907,904,,3,,,154,,,33,6,,6,,384,,AFRICA
REPUBLIC OF SOUTH SUDAN,2020,462,,460,,122,64,8,237,234,,3,,,4,22,3,,46,,46,,,,AFRICA
