Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
WORLD,2020,9730000,9304745.0,8158471.0,1146274.0,3424054.0,467977.0,1332240.0,1613331.0,1409642.0,23893.0,80940.0,46749.0,52107.0,562258.0,100314.0,167238.0,159230.0,254742.0,170140.0,84602.0,77087.0,425255.0,2.0,
AFRICA,2020,367980,345002.0,322882.0,22120.0,127791.0,27284.0,37429.0,89326.0,86104.0,547.0,1396.0,813.0,466.0,20696.0,3735.0,2710.0,3291.0,8597.0,4540.0,4057.0,10620.0,22978.0,,WORLD
ASIA PACIFIC,2020,4803801,4499499.0,3951625.0,547874.0,2075763.0,205463.0,822679.0,432001.0,344823.0,6433.0,34296.0,32233.0,14216.0,209691.0,39239.0,29137.0,131443.0,100213.0,76118.0,24095.0,6209.0,304302.0,1.0,WORLD
COMMONWEALTH OF INDEPENDENT STATES,2020,622837,612467.0,547929.0,64538.0,255394.0,28529.0,76554.0,83240.0,57366.0,3368.0,4202.0,394.0,17910.0,70137.0,5348.0,12499.0,5706.0,10770.0,5918.0,4852.0,10522.0,10370.0,1.0,WORLD
EUROPE,2020,955413,921693.0,874256.0,47437.0,262209.0,41861.0,115193.0,270775.0,259394.0,1496.0,3587.0,4663.0,1635.0,114156.0,22457.0,44252.0,2446.0,61238.0,39891.0,21347.0,907.0,33720.0,2.0,WORLD
MIDDLE EAST,2020,591903,568260.0,514598.0,53662.0,190718.0,38402.0,89299.0,103577.0,100634.0,49.0,2634.0,,260.0,35734.0,3389.0,8721.0,14067.0,30546.0,19188.0,11358.0,30691.0,23643.0,3.0,WORLD
NORTH AMERICA,2020,1493350,1475572.0,1405737.0,69835.0,457100.0,106489.0,143155.0,512630.0,445904.0,11038.0,32117.0,6643.0,16928.0,94209.0,15962.0,67052.0,1.0,28749.0,14195.0,14554.0,9139.0,17778.0,3.0,WORLD
SOUTH AND CENTRAL AMERICA,2020,298043,285579.0,286702.0,-1123.0,55079.0,19949.0,47931.0,121782.0,115417.0,962.0,2708.0,2003.0,692.0,17635.0,10184.0,2867.0,2276.0,14629.0,10290.0,4339.0,8999.0,12464.0,1.0,WORLD
ANNEX I,2020,3185051,3125527.0,2941311.0,184216.0,1045299.0,176125.0,355615.0,892858.0,783692.0,16534.0,43051.0,14413.0,35168.0,273190.0,46191.0,129681.0,2436.0,104902.0,60820.0,44082.0,19916.0,59524.0,2.0,
NON-ANNEX I,2020,5948276,5582545.0,4962418.0,620127.0,2378755.0,291852.0,976625.0,720473.0,625950.0,7359.0,37889.0,32336.0,16939.0,289068.0,54123.0,37557.0,156794.0,149840.0,109320.0,40520.0,57171.0,365731.0,1.0,
